,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
10,Oklahoma City Thunder,124,Phoenix Suns,116,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,14,0,14,672.0,99.6,113.9,-14.3,55.7,1.28,15.8,25.6,72.9,48.4,16.5,49.4,52.1,101.71,40.6,8
11,New York Knicks,105,Los Angeles Clippers,128,15,3,12,725.0,107.3,114.6,-7.3,56.2,1.74,17.4,27.8,71.3,49.1,13.8,51.1,53.7,98.42,44.7,16,9,7,768.0,112.8,110.7,2.1,52.3,1.62,16.3,30.2,71.7,51.6,13.8,53.8,57.1,99.47,50.3,-23
12,Minnesota Timberwolves,108,Utah Jazz,116,13,6,7,624.0,110.6,113.0,-2.4,53.7,1.66,16.5,26.0,72.7,49.6,13.3,52.4,56.7,98.15,48.7,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,-8
13,Memphis Grizzlies,100,Orlando Magic,107,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,-7
14,Denver Nuggets,126,Cleveland Cavaliers,117,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,9
15,Detroit Pistons,96,Miami Heat,105,15,7,8,735.0,105.0,105.0,0.0,56.3,1.65,16.6,26.2,72.0,49.2,13.6,50.9,53.7,96.39,50.1,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,-9
16,Boston Celtics,120,Houston Rockets,123,13,9,4,634.0,107.2,103.7,3.5,58.9,1.52,17.0,27.3,74.6,51.3,15.2,52.0,55.8,96.08,52.1,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,-3
17,Los Angeles Lakers,116,San Antonio Spurs,112,15,7,8,725.0,109.5,108.3,1.2,60.6,1.68,17.7,25.5,75.7,50.7,14.4,53.5,57.1,100.77,50.3,14,8,6,677.0,106.1,102.9,3.2,58.3,1.79,17.1,27.9,74.1,50.7,13.2,49.6,53.3,97.03,51.9,4
18,Oklahoma City Thunder,100,Portland Trail Blazers,108,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,-8
19,Utah Jazz,98,Sacramento Kings,91,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,7
20,Phoenix Suns,112,Atlanta Hawks,113,14,0,14,672.0,99.6,113.9,-14.3,55.7,1.28,15.8,25.6,72.9,48.4,16.5,49.4,52.1,101.71,40.6,14,2,12,672.0,102.5,113.1,-10.7,61.9,1.45,17.3,25.0,77.1,50.7,16.1,51.0,54.4,100.79,44.1,-1
21,Charlotte Hornets,98,Toronto Raptors,103,15,6,9,725.0,111.0,112.3,-1.3,53.4,1.79,15.7,25.6,75.2,50.4,11.8,51.0,55.9,99.51,49.9,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,-5
22,Indiana Pacers,98,Washington Wizards,95,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,3
23,New Orleans Pelicans,126,Dallas Mavericks,109,15,8,7,720.0,106.0,106.3,-0.3,60.6,1.97,18.9,22.9,72.8,49.3,13.1,52.4,55.3,101.40,52.6,14,4,10,677.0,105.6,107.7,-2.2,59.3,1.87,17.3,23.2,76.1,49.4,12.5,51.2,54.3,97.88,48.2,17
24,Philadelphia 76ers,110,Milwaukee Bucks,118,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,-8
25,Brooklyn Nets,120,Los Angeles Clippers,123,14,5,9,682.0,111.1,114.3,-3.2,64.4,1.78,18.2,26.2,71.6,48.6,14.1,52.6,56.8,98.57,47.7,16,9,7,768.0,112.8,110.7,2.1,52.3,1.62,16.3,30.2,71.7,51.6,13.8,53.8,57.1,99.47,50.3,-3
26,New York Knicks,99,Sacramento Kings,102,15,3,12,725.0,107.3,114.6,-7.3,56.2,1.74,17.4,27.8,71.3,49.1,13.8,51.1,53.7,98.42,44.7,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,-3
27,Detroit Pistons,90,Cleveland Cavaliers,112,15,7,8,735.0,105.0,105.0,0.0,56.3,1.65,16.6,26.2,72.0,49.2,13.6,50.9,53.7,96.39,50.1,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,-22
28,Milwaukee Bucks,89,Indiana Pacers,92,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,-3
29,Phoenix Suns,103,Miami Heat,125,14,0,14,672.0,99.6,113.9,-14.3,55.7,1.28,15.8,25.6,72.9,48.4,16.5,49.4,52.1,101.71,40.6,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,-22
30,Boston Celtics,105,Chicago Bulls,89,13,9,4,634.0,107.2,103.7,3.5,58.9,1.52,17.0,27.3,74.6,51.3,15.2,52.0,55.8,96.08,52.1,15,5,10,720.0,103.2,112.7,-9.5,61.8,1.63,16.9,30.2,74.0,50.7,14.4,47.9,51.4,97.93,43.7,16
31,Memphis Grizzlies,98,San Antonio Spurs,100,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,14,8,6,677.0,106.1,102.9,3.2,58.3,1.79,17.1,27.9,74.1,50.7,13.2,49.6,53.3,97.03,51.9,-2
32,Orlando Magic,80,Utah Jazz,94,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,-14
33,Portland Trail Blazers,108,Los Angeles Lakers,103,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,15,7,8,725.0,109.5,108.3,1.2,60.6,1.68,17.7,25.5,75.7,50.7,14.4,53.5,57.1,100.77,50.3,5
34,Philadelphia 76ers,128,Charlotte Hornets,114,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,15,6,9,725.0,111.0,112.3,-1.3,53.4,1.79,15.7,25.6,75.2,50.4,11.8,51.0,55.9,99.51,49.9,14
35,Atlanta Hawks,90,Toronto Raptors,106,14,2,12,672.0,102.5,113.1,-10.7,61.9,1.45,17.3,25.0,77.1,50.7,16.1,51.0,54.4,100.79,44.1,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,-16
36,Miami Heat,113,Washington Wizards,117,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,-4
37,Houston Rockets,122,Oklahoma City Thunder,112,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,10
38,Denver Nuggets,107,Dallas Mavericks,118,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,14,4,10,677.0,105.6,107.7,-2.2,59.3,1.87,17.3,23.2,76.1,49.4,12.5,51.2,54.3,97.88,48.2,-11
39,New York Knicks,87,Portland Trail Blazers,111,15,3,12,725.0,107.3,114.6,-7.3,56.2,1.74,17.4,27.8,71.3,49.1,13.8,51.1,53.7,98.42,44.7,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,-24
40,Brooklyn Nets,101,Golden State Warriors,114,14,5,9,682.0,111.1,114.3,-3.2,64.4,1.78,18.2,26.2,71.6,48.6,14.1,52.6,56.8,98.57,47.7,14,7,7,672.0,106.9,107.1,-0.2,63.2,1.80,19.0,23.3,72.3,48.5,14.5,52.7,56.2,97.32,51.2,-13
41,New Orleans Pelicans,121,Los Angeles Clippers,116,15,8,7,720.0,106.0,106.3,-0.3,60.6,1.97,18.9,22.9,72.8,49.3,13.1,52.4,55.3,101.40,52.6,16,9,7,768.0,112.8,110.7,2.1,52.3,1.62,16.3,30.2,71.7,51.6,13.8,53.8,57.1,99.47,50.3,5
42,Utah Jazz,104,Indiana Pacers,84,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,20
43,Memphis Grizzlies,110,Chicago Bulls,119,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,15,5,10,720.0,103.2,112.7,-9.5,61.8,1.63,16.9,30.2,74.0,50.7,14.4,47.9,51.4,97.93,43.7,-9
44,Toronto Raptors,121,Detroit Pistons,119,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,15,7,8,735.0,105.0,105.0,0.0,56.3,1.65,16.6,26.2,72.0,49.2,13.6,50.9,53.7,96.39,50.1,2
45,Houston Rockets,110,Milwaukee Bucks,99,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,11
46,New Orleans Pelicans,114,Sacramento Kings,101,15,8,7,720.0,106.0,106.3,-0.3,60.6,1.97,18.9,22.9,72.8,49.3,13.1,52.4,55.3,101.40,52.6,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,13
47,Cleveland Cavaliers,113,Denver Nuggets,108,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,5
48,Orlando Magic,107,Los Angeles Lakers,108,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,15,7,8,725.0,109.5,108.3,1.2,60.6,1.68,17.7,25.5,75.7,50.7,14.4,53.5,57.1,100.77,50.3,-1
49,Brooklyn Nets,125,Charlotte Hornets,111,14,5,9,682.0,111.1,114.3,-3.2,64.4,1.78,18.2,26.2,71.6,48.6,14.1,52.6,56.8,98.57,47.7,15,6,9,725.0,111.0,112.3,-1.3,53.4,1.79,15.7,25.6,75.2,50.4,11.8,51.0,55.9,99.51,49.9,14
50,Philadelphia 76ers,99,Miami Heat,108,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,-9
51,Boston Celtics,117,Minnesota Timberwolves,109,13,9,4,634.0,107.2,103.7,3.5,58.9,1.52,17.0,27.3,74.6,51.3,15.2,52.0,55.8,96.08,52.1,13,6,7,624.0,110.6,113.0,-2.4,53.7,1.66,16.5,26.0,72.7,49.6,13.3,52.4,56.7,98.15,48.7,8
52,Phoenix Suns,87,Oklahoma City Thunder,115,14,0,14,672.0,99.6,113.9,-14.3,55.7,1.28,15.8,25.6,72.9,48.4,16.5,49.4,52.1,101.71,40.6,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,-28
53,San Antonio Spurs,107,Golden State Warriors,110,14,8,6,677.0,106.1,102.9,3.2,58.3,1.79,17.1,27.9,74.1,50.7,13.2,49.6,53.3,97.03,51.9,14,7,7,672.0,106.9,107.1,-0.2,63.2,1.80,19.0,23.3,72.3,48.5,14.5,52.7,56.2,97.32,51.2,-3
54,Chicago Bulls,83,Detroit Pistons,99,15,5,10,720.0,103.2,112.7,-9.5,61.8,1.63,16.9,30.2,74.0,50.7,14.4,47.9,51.4,97.93,43.7,15,7,8,735.0,105.0,105.0,0.0,56.3,1.65,16.6,26.2,72.0,49.2,13.6,50.9,53.7,96.39,50.1,-16
55,Atlanta Hawks,87,Indiana Pacers,112,14,2,12,672.0,102.5,113.1,-10.7,61.9,1.45,17.3,25.0,77.1,50.7,16.1,51.0,54.4,100.79,44.1,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,-25
56,Houston Rockets,105,Toronto Raptors,108,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,-3
57,Utah Jazz,95,Memphis Grizzlies,78,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,17
58,New York Knicks,112,Milwaukee Bucks,120,15,3,12,725.0,107.3,114.6,-7.3,56.2,1.74,17.4,27.8,71.3,49.1,13.8,51.1,53.7,98.42,44.7,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,-8
59,Washington Wizards,116,New Orleans Pelicans,97,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,15,8,7,720.0,106.0,106.3,-0.3,60.6,1.97,18.9,22.9,72.8,49.3,13.1,52.4,55.3,101.40,52.6,19
60,Los Angeles Lakers,116,Denver Nuggets,125,15,7,8,725.0,109.5,108.3,1.2,60.6,1.68,17.7,25.5,75.7,50.7,14.4,53.5,57.1,100.77,50.3,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,-9
61,Golden State Warriors,108,Portland Trail Blazers,125,14,7,7,672.0,106.9,107.1,-0.2,63.2,1.80,19.0,23.3,72.3,48.5,14.5,52.7,56.2,97.32,51.2,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,-17
62,Orlando Magic,88,Sacramento Kings,94,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,-6
63,Cleveland Cavaliers,102,Los Angeles Clippers,116,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,16,9,7,768.0,112.8,110.7,2.1,52.3,1.62,16.3,30.2,71.7,51.6,13.8,53.8,57.1,99.47,50.3,-14
64,Phoenix Suns,115,Charlotte Hornets,122,14,0,14,672.0,99.6,113.9,-14.3,55.7,1.28,15.8,25.6,72.9,48.4,16.5,49.4,52.1,101.71,40.6,15,6,9,725.0,111.0,112.3,-1.3,53.4,1.79,15.7,25.6,75.2,50.4,11.8,51.0,55.9,99.51,49.9,-7
65,Washington Wizards,102,Miami Heat,129,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,-27
66,Memphis Grizzlies,80,Dallas Mavericks,114,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,14,4,10,677.0,105.6,107.7,-2.2,59.3,1.87,17.3,23.2,76.1,49.4,12.5,51.2,54.3,97.88,48.2,-34
67,San Antonio Spurs,94,Oklahoma City Thunder,104,14,8,6,677.0,106.1,102.9,3.2,58.3,1.79,17.1,27.9,74.1,50.7,13.2,49.6,53.3,97.03,51.9,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,-10
68,Orlando Magic,105,Los Angeles Clippers,113,14,4,10,677.0,99.3,104.9,-5.6,62.4,1.48,17.2,23.9,72.8,48.1,15.7,48.5,51.9,97.21,46.6,16,9,7,768.0,112.8,110.7,2.1,52.3,1.62,16.3,30.2,71.7,51.6,13.8,53.8,57.1,99.47,50.3,-8
69,Toronto Raptors,132,New York Knicks,106,16,12,4,778.0,114.9,110.3,4.5,63.3,1.95,18.9,29.1,72.7,50.9,13.5,54.5,58.1,96.59,52.7,15,3,12,725.0,107.3,114.6,-7.3,56.2,1.74,17.4,27.8,71.3,49.1,13.8,51.1,53.7,98.42,44.7,26
70,Chicago Bulls,129,Atlanta Hawks,122,15,5,10,720.0,103.2,112.7,-9.5,61.8,1.63,16.9,30.2,74.0,50.7,14.4,47.9,51.4,97.93,43.7,14,2,12,672.0,102.5,113.1,-10.7,61.9,1.45,17.3,25.0,77.1,50.7,16.1,51.0,54.4,100.79,44.1,7
71,Golden State Warriors,103,Minnesota Timberwolves,109,14,7,7,672.0,106.9,107.1,-0.2,63.2,1.80,19.0,23.3,72.3,48.5,14.5,52.7,56.2,97.32,51.2,13,6,7,624.0,110.6,113.0,-2.4,53.7,1.66,16.5,26.0,72.7,49.6,13.3,52.4,56.7,98.15,48.7,-6
72,Utah Jazz,116,New Orleans Pelicans,99,15,12,3,725.0,109.3,97.5,11.8,64.1,1.59,18.3,28.4,75.0,52.7,16.0,53.2,57.0,96.66,58.6,15,8,7,720.0,106.0,106.3,-0.3,60.6,1.97,18.9,22.9,72.8,49.3,13.1,52.4,55.3,101.40,52.6,17
73,Sacramento Kings,104,Denver Nuggets,130,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,15,8,7,735.0,115.6,113.1,2.5,62.7,1.79,19.0,27.0,72.1,50.4,14.7,56.3,59.9,98.61,51.9,-26
74,Houston Rockets,105,Dallas Mavericks,82,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,14,4,10,677.0,105.6,107.7,-2.2,59.3,1.87,17.3,23.2,76.1,49.4,12.5,51.2,54.3,97.88,48.2,23
75,Indiana Pacers,99,Boston Celtics,97,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,13,9,4,634.0,107.2,103.7,3.5,58.9,1.52,17.0,27.3,74.6,51.3,15.2,52.0,55.8,96.08,52.1,2
76,Philadelphia 76ers,120,Brooklyn Nets,97,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,14,5,9,682.0,111.1,114.3,-3.2,64.4,1.78,18.2,26.2,71.6,48.6,14.1,52.6,56.8,98.57,47.7,23
77,Cleveland Cavaliers,113,Los Angeles Lakers,127,16,10,6,768.0,114.5,112.2,2.3,54.9,1.93,17.5,25.2,71.8,48.9,12.3,55.1,58.2,98.31,50.7,15,7,8,725.0,109.5,108.3,1.2,60.6,1.68,17.7,25.5,75.7,50.7,14.4,53.5,57.1,100.77,50.3,-14
78,San Antonio Spurs,93,Houston Rockets,109,14,8,6,677.0,106.1,102.9,3.2,58.3,1.79,17.1,27.9,74.1,50.7,13.2,49.6,53.3,97.03,51.9,15,14,1,725.0,115.0,103.7,11.3,56.9,1.71,16.9,26.2,71.5,49.2,13.4,55.0,58.4,96.79,55.1,-16
79,Milwaukee Bucks,121,Memphis Grizzlies,103,15,8,7,725.0,113.4,112.0,1.3,61.0,1.84,19.1,26.4,69.2,48.0,14.3,55.2,58.6,98.32,52.0,16,3,13,768.0,102.0,113.6,-11.6,59.7,1.55,17.0,28.4,73.2,49.2,15.0,49.6,52.5,96.50,43.2,18
80,Sacramento Kings,101,Oklahoma City Thunder,106,16,6,10,778.0,104.2,109.1,-4.9,58.1,1.80,17.4,26.1,76.0,50.1,13.2,50.0,52.9,95.23,46.4,14,8,6,677.0,111.9,107.9,4.0,52.6,1.64,15.9,29.6,70.1,49.4,13.2,52.9,55.9,99.23,51.2,-5
81,Miami Heat,99,Portland Trail Blazers,115,16,9,7,798.0,111.1,106.7,4.4,60.9,1.93,18.4,26.7,71.7,49.3,13.2,53.6,56.6,96.75,52.7,15,12,3,720.0,113.1,104.7,8.3,52.8,1.81,15.9,29.5,75.2,52.1,12.0,51.3,55.3,97.13,54.1,-16
82,Indiana Pacers,101,Philadelphia 76ers,98,15,11,4,725.0,106.1,103.4,2.7,52.1,1.55,15.7,28.4,73.2,50.0,13.8,49.7,53.4,94.31,50.9,16,13,3,768.0,111.9,102.3,9.6,71.1,2.02,20.8,26.8,73.5,51.6,14.7,55.1,58.0,101.47,56.8,3
83,Minnesota Timberwolves,116,Washington Wizards,111,13,6,7,624.0,110.6,113.0,-2.4,53.7,1.66,16.5,26.0,72.7,49.6,13.3,52.4,56.7,98.15,48.7,14,6,8,687.0,107.7,109.2,-1.5,69.0,1.80,19.7,28.6,73.9,51.4,15.5,52.8,56.2,95.44,50.3,5
